ID,study_title,hypothesis_statement,effect_of_interest,statistical_result,df_t,t_statistic,p_value_t,es,ci_es,df1_f,df2_f,f_statistic,p_value_f,es_f,ci_f,preregistration,raw_data,access_raw_data,Any_stats?,p-values?,test_stats?,Df?,ES?,CI_ES?,,Colour Legend,
1,THE WEEK AFTER RUNNING A MARATHON: EFFECTS OF RUNNING vs ELLIPTICAL TRAINING vs RESTING ON NEUROMUSCULAR PERFORMANCE AND MUSCLE DAMAGE RECOVERY,"We hypothesized that muscle damage recovery would be faster in resting and elliptical training groups compared to the running group (Sherman et al., 1984; Wiewelhove et al., 2016), whereas neuromuscular performance recovery would be faster in the elliptical training group (Nakagawa et al., 2018).",difference of means,"Moreover, at 96h post-race SJ height was significantly and moderately better in RUN compared to REST group (108.29 ± 10.64% vs 100.58 ± 9.16%, p=0.020, d=0.80)Moreover, at 96h post-race SJ height was significantly and moderately better in RUN compared to REST group (108.29 ± 10.64% vs 100.58 ± 9.16%, p=0.020, d=0.80)",,,p = 0.02,not reported,not reported,,,,,,,clinical trial,no,,Yes,Yes,No,No,No,No,,Orange,incomplete information in paper
2,Sodium Bicarbonate Supplementation Does Not Improve Running Anaerobic Sprint Test Performance in Semiprofessional Adolescent Soccer Players,It was hypothesized that NaHCO3 supplementation would improve performance and reduce fatigue and perceptual measures of the semiprofessional athletes.,main effect,Supplementation with NaHCO3 did not improve total RAST time (p (treatment factor) = 0.533),,,,,,,,,p = 0.533,not reported,no,no,no,,Yes,Yes,No,No,No,No,,Yellow,Estimated incomplete information
3,Sweat Characteristics of Cramp-Prone and Cramp-Resistant Athletes,"We hypothesized sweat losses would be higher in cramp-prone athletes, these variables would be capable of identifying cramp-prone athletes, and sweat losses would be different across gender and sports.",main effect,"We did not observe a main effect for “EAMC history” for [Na+]sw, F(1, 313) = 2.28, p = .13",,,,,,1,313,2.28,p = 0.13,not reported,no,no,no,,Yes,Yes,Yes,Yes,No,No,,Green,All relevant information contained for reproducibility check
4,"Postexercise Glucose–Fructose Coingestion Augments Cycling Capacity During Short-Term and Overnight Recovery From Exhaustive Exercise, Compared With Isocaloric Glucose","We hypothesized that, compared with glucose alone, isocaloric glucose–fructose coingestion would augment cycling capacity in short and overnight experiments.",difference of means,Exercise capacity was greater in glucose + fructose com- pared with glucose only (28.0 ± 8.4 vs. 22.8 ± 7.3 min; p = .039; d = 0.65,,,p = 0.039,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
5,Cooling During Endurance Cycling in the Heat: Blunted Core Temperature but Not Inflammatory Responses,It was hypothesized that the cooling stimulus induced by percooling with an ice vest would be sufficient to reduce thermal strain but would not blunt desirable inflammatory and metabolic responses.,difference of means,"For Tcore, a statistical main effect was observed for interaction (P = .004). The increase in Tcore was statistically larger in CON compared with ICE (P = .004; ES = 1.37 [0.29–2.45]).",,,p = 0.004,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
6,Power attenuation from restricting range of motion is minimized in subjects with fast RTD and following isometric training,1) peak power would be greater in the unrestricted versus restricted ROM,interaction effect,"Peak power increased following training at both MTU lengths with a MTU length × training interaction [F(1, 51) = 5.97, P < 0.05, ηp2 = 0.11], no main effect of MTU length [F(1, 51) = 1.32, P = 0.26], and a main effect of training [F(1, 51) = 33.9, P < 0.05, ηp2 = 0.40]",,,,,,1,51,5.97,P < 0.05,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
7,Muscle fiber typology substantially influences time to recover from high- intensity exercise,We hypothesized that subjects with a FT are characterized by more pronounced fatigue and delayed recovery in the 5 h after the high-intensity exercise compared with subjects with a ST.,main effect,total power drop over three repeated Win- gate tests was significantly higher in the FT group (–61%) compared with the ST group (–41%) (Fig. 3A; P < 0.001).,,,,,,,,,p < 0.001,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
8,Effects of Four Different Velocity-Based Training Programming Models on Strength Gains and Physical Performance,"itwas hypothesized that all programming models would induce similar performance adaptations in young moderately strength-trained men because they would be performed under similar intensities, volume, level of effort (i.e., VL in the set), and interset rest periods.",interaction effect,No significant “group” 3 “time” interactions were observed for any of the SQ strength variables (1RM: p = 0.18),,,,,,,,,p = 0.18,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
9,Age-related differences in vastus lateralis fascicle behavior during fast accelerative leg-extension movements,"We hypothesized subjects would be able to generate a greater amount of upper extremity torque when performing a volitional isometric core contraction compared with when the core musculature was recruited in an automatic, subconscious fashion",difference of means,"Isometric shoulder flexion peak torque was greater when the abdominals were actively contracted (44.6 6 18.9 N 3 m) compared with ISFPT when the abdominals were recruited subconsciously (30.7 6 15.7 N 3 m) (t = 8.69, p , 0.001).",29,8.69,p < 0.001,not reported,not reported,,,,,,,no,no,,Yes,Yes,Yes,No,No,No,,,
10,Fatigue-related changes in vertical impact properties during normal and silent running,"It was hypothesized that fatigued runners would present increased vertical impact properties (peak sounds and loading rates) especially during silent running, as it may be

a more metabolically demanding locomotor task.",main effect,"There was a greater peak impact sound during normal running when compared to silent running (F (1,16) = 49.5, p < 0.0001, ŋp2 = 0.76,",,,,,,1,16,49.5,p < 0.0001,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
