ID,study_title,hypothesis_statement,effect_of_interest,statistical_result,df1_f,df2_f,f_statistc,p_value,p_number,reported_p,computed_p,Agreement?,APA Text statement (original)
3,Sweat Characteristics of Cramp-Prone and Cramp-Resistant Athletes,"We hypothesized sweat losses would be higher in cramp-prone athletes, these variables would be capable of identifying cramp-prone athletes, and sweat losses would be different across gender and sports.",main effect,"We did not observe a main effect for “EAMC history” for [Na+]sw, F(1, 313) = 2.28, p = .13",1,313,2.28,p = 0.13,0.13,0.13,0.132,Reproduced,"F(1, 313) = 2.28, p = 0.13000"
6,Power attenuation from restricting range of motion is minimized in subjects with fast RTD and following isometric training,1) peak power would be greater in the unrestricted versus restricted ROM,interaction effect,"Peak power increased following training at both MTU lengths with a MTU length × training interaction [F(1, 51) = 5.97, P < 0.05, ηp2 = 0.11], no main effect of MTU length [F(1, 51) = 1.32, P = 0.26], and a main effect of training [F(1, 51) = 33.9, P < 0.05, ηp2 = 0.40]",1,51,5.97,P < 0.05,0.05,0.05,0.018,Not reproducible but compatible,"F(1, 51) = 5.97, p = 0.05000"
10,Fatigue-related changes in vertical impact properties during normal and silent running,"It was hypothesized that fatigued runners would present increased vertical impact properties (peak sounds and loading rates) especially during silent running, as it may be

a more metabolically demanding locomotor task.",main effect,"There was a greater peak impact sound during normal running when compared to silent running (F (1,16) = 49.5, p < 0.0001, ŋp2 = 0.76,",1,16,49.5,p < 0.0001,0.0001,0,0,Reproduced,"F(1, 16) = 49.5, p = 0.00010"
12,Resistance training intervention performed with different muscle action durations influences the maximal dynamic strength without promoting joint-angle specific strength gains,"larger MVIC gains would occur at initial angles of the ROM for faster training protocols. In contrast, larger MVIC

ments at the end of the ROM would be observed for slower training protocols.",main effect,"Results of relative change in MVIC showed only significant effects for group (F3, 36 = 4.78; p = 0.007; η2 = 0.121) and angle (F6, 216 = 4.81; p < 0.001; η2 = 0.063)",6,216,4.81,p < 0.001,0.001,0.001,0,Reproduced,"F(6, 216) = 4.81, p = 0.00100"
16,"No effect of transcranial direct current stimulation of frontal, motor or visual cortex on performance of a self-paced visuomotor skill","it was hypothesised that frontal stimulation would have beneficial effects for both golf putting performance and QE duration, due to facilitation of executive areas involved in attentional control (Corbetta & Shulman, 2002).",main effect,"To examine the effect of stimulation group on golf putting perfor- mance a 4 (group) x 2 (condition) ANCOVA was conducted on radial error scores, no effect of group, F(3,66) = 2.09, p = .11, η2 = 0.053,",3,66,2.09,p = 0.11,0.11,0.11,0.11,Reproduced,"F(3, 66) = 2.09, p = 0.11000"
17,Integrating visual trajectory and probabilistic information in baseball batting,i) Batting performance would be significantly better for later occlusion times.,main effect,"The ANOVA performed on these data revealed a significant main effect of occlusion time, F(2, 38) = 34.9, p < 0.001, η2p = .65. For both the 0.5 and 0.65 probability conditions the proportion of hits was significantly higher for the 150 ms occlusion time as compared to 50 ms, t(19) = 9.8, p < 0.001, d = 2.6 and t(19) = 7.2, p < 0.001, d = 1.9.",2,38,34.9,p < 0.001,0.001,0.001,0,Reproduced,"F(2, 38) = 34.9, p = 0.00100"
22,The effects of fatiguing exercise and load carriage on the perception and initiation of movement,We hypothesized that fatigue and load carriage would negatively affect both accuracy (decreased) and initiation times (increased) for affordance perception.,interaction effect,"A repeated measures ANOVA (Figure 2) showed no significant interaction of exercise intensity and load carriage on RT (F (2.7,59.8) = 0.390, p = 0.82)",2.7,59.8,0.39,p = 0.82,0.82,0.82,0.74,Not reproducible but compatible,"F(2.7, 59.8) = 0.39, p = 0.82000"
25,Effects of Adding Post-Workout Microcurrent in Males Cross Country Athletes,We hypothesised that combining microcurrent with endurance training induces additional performance benefits when compared to the training intervention alone (sham group).,main effect,"Both groups similarly increased MAS with no significant difference between groups Group: F(1,16)=0.03, p=0.876, η2=0.01",1,16,0.03,p = 0.876,0.876,0.876,0.865,Not reproducible but compatible,"F(1, 16) = 0.03, p = 0.87600"
27,L-Arginine Improves Endurance to High-Intensity Interval Exercises in Overweight Men,"hypothesized that such men receiving supplementation with L-arginine would have an enhanced exercise tolerance through HIIE (Álvares et al., 2012; Bailey et al., 2010; McKnight et al.,

2010), as measured by various markers of ventilatory function.",main effect,"The VE significantly increased during HIIE regardless of which supplement was consumed, F(24, 504)=68.56, p=.0001, ES= 0.76.",24,504,68.56,p = 0.0001,0.0001,0.0001,0,Not reproducible but compatible,"F(24, 504) = 68.56, p = 0.00010"
29,The Acute Physiological and Perceptual Effects of Individualizing the Recovery Interval Duration Based Upon the Resolution of Muscle Oxygen Consumption During Cycling Exercise,"Itwas hypothesized that the IND recovery duration would increase work interval power

output (PO) resulting in a greater acute physiological response during

the work intervals when compared with the STD recovery duration.",main effect,"No main effect of recovery duration F = 1.95, p = 0.18, n2p = 0.12",1,15,1.95,p = 0.18,0.18,0.18,0.18,Reproduced,"F(1, 15) = 1.95, p = 0.18000"
32,"Acute Effect of Drop-Set, Traditional, and Pyramidal Systems in Resistance Training on Neuromuscular Performance in Trained Adults","Because the strategy adopted in RT session affects neuromuscular

responses (17,20), we hypothesized that lower- and

upper-limb performance will be impaired after RT session;",main effect,"for group (F(2,34) = 7.878, p 5 0.002)",2,34,7.878,p = 0.002,0.002,0.002,0.002,Reproduced,"F(2, 34) = 7.878, p = 0.00200"
40,Exercise and Protein Effects on Strength and Function with Weight Loss in Older Women,"We hypothesized that although all treat- ments would confer favorable effects on weight status, body composition, and LEPF, the higher protein diet combined with exercise group would experience the greatest benefit in all out- comes of interest, especially LEPF, compared with the con- ventional protein control diet with exercise or protein diet alone groups.",interaction effect,"Group–time interactions were significant for all physical function variables (UPGO: F(3.1, 86.3) = 4.4, P < 0.01, η2 = 0.136;",3.1,86.3,4.4,P < 0.01,0.01,0.01,0.006,Not reproducible but compatible,"F(3.1, 86.3) = 4.4, p = 0.01000"
41,The effects of coaches’ emotional expressions on players’ performance: Experimental evidence in a football context,We further predicted that expressed pride would benefit players’ performance.,interaction effect,"For original time, or the interaction (F1, 26 = 0.15, p = .70, η2p = 0.006)",1,26,0.15,p = 0.70,0.7,0.7,0.702,Reproduced,"F(1, 26) = 0.15, p = 0.70000"
42,Different task success criteria affect expectancies of success but do not improve golf putting performance,"Third, task performance and learning will improve with increased expectations of success and will decline when expectations of success are low.",interaction effect,"the interaction, F (4, 52) = 1.1, p = .37, ƞ2p = .08, power = .32, was not found to be significant",4,52,1.1,p = 0.37,0.37,0.37,0.366,Reproduced,"F(4, 52) = 1.1, p = 0.37000"
45,Superior performance improvements in elite cyclists following short-interval vs effort-matched long-interval training,we hypothesized that short intervals would result in su- perior improvements in the performance indicators as well as in the 20-minute cycling performance test.,main effect,"There was a larger (F = 14.43, P < .01; ES d = 0.67) percentage improvement in mean power output during the 20-minute test in SI than LI",1,15,14.43,p < 0.01,0.01,0.01,0.002,Not reproducible but compatible,"F(1, 15) = 14.43, p = 0.01000"
55,Effects of eccentric training at long-muscle length on architectural and functional characteristics of the hamstrings,we hypothesized that the aforementioned eccentric training in a lengthened position would (a) increase fascicle length of the BFlh,interaction effect,"A significant interaction (time × group) effect was observed for fascicle length (F = 9.881, P = .004). Post-hoc testing revealed significant increase in fascicle length (+6.9%; P < .01; d = 1.12) in BFlh in the intervention group, while no significant changes were observed in the control group (P = .40-.42; d = 0.05-0.06).",1,39,9.881,p = 0.004,0.004,0.004,0.0032,Not reproducible but compatible,"F(1, 39) = 9.881, p = 0.00400"
58,Comparison of balance performance between masters Olympic weightlifters and runners,"We hypothesized that the weightlifters would demonstrate better balance than the runners,

particularly under assessment conditions with visual inputs unavailable (ie, eyes closed).",main effect,"The two exercise groups demonstrated different balance proficiency (Figure 1) depending upon the vision/support surface condition (F3,258 = 3.6, P = .015, η2 p = 0.04).",3,258,3.6,p = 0.015,0.015,0.015,0.014,Incorrectly rounded,"F(3, 258) = 3.6, p = 0.01500"
64,Airflow restriction mask induces greater central fatigue after a non-exhaustive high-intensity interval exercise,"We hypothesized that wearing an ARM would cause a greater reduction in the SpO2 and blood pH, and a greater increase in the HR, plasma lactate concentration, dyspnea,

P-RPE, TEA, and greater end-exercise peripheral and central fatigue.",interaction effect,"There was a condition-moment interaction (F[1,13] = 9.2, p = 0.01) for MVC",1,13,9.2,p = 0.01,0.01,0.01,0.01,Reproduced,"F(1, 13) = 9.2, p = 0.01000"
