ID,study_title,hypothesis_statement,effect_of_interest,statistical_result,Within or Between,df_t,t_statistic,p_value,es,ci_es,raw_data,access_raw_data,,df,t,p,,df2,test_value,reported_p,computed_p,Agreement?,APA Text statement (original),,
9,Shoulder Flexion Torque Is Augmented by a Volitional Abdominal Isometric Contraction,"We hypothesized subjects would be able to generate a greater amount of upper extremity torque when performing a volitional isometric core contraction compared with when the core musculature was recruited in an automatic, subconscious fashion",difference of means,"Isometric shoulder flexion peak torque was greater when the abdominals were actively contracted (44.6 6 18.9 N 3 m) compared with ISFPT when the abdominals were recruited subconsciously (30.7 6 15.7 N 3 m) (t = 8.69, p , 0.001).",Within,29,8.69,p < 0.001,not reported,not reported,no,,,29,8.69,p < 0.001,,29,8.69,<0.001,0.000,Reproduced,"t(29) = 8.69, p = 0.001",,
43,EEG neurofeedback improves cycling time to exhaustion,we hypothesized that increased relative left frontal cortical activity would allow individuals to cycle for longer during a constant load time-to-exhaustion task compared to both the opposite neurofeedback intervention (increased relative right frontal cortical activity) and a passive control intervention.,difference of means,"Orthogonal planned contrasts confirmed that the NFL group performed significantly better than the other two groups, t (37) = 2.03, p = .050, gs = 0.64, while the performance of the NFR and the passive control groups did not differ from each other, t (37) = 0.33, p = .744, gs = 0.10.",Between,37,2.03,p = 0.050,not reported,not reported,no,,,37,2.03,p = 0.050,,37,2.03,0.05,0.05,Reproduced,"t(37) = 2.03, p = 0.05",,
49,Sodium bicarbonate improves sprint performance in endurance cycling,The authors hypothe- size that stacked NaHCO3 loading by increasing extracellular buffer capacity can improve performance in a short all-out exercise bout at the end of a 3-h simulated cycling race.,difference of means,MPO over the full 90-sec bout was ∼3% higher in BIC (541 ± 59 W) than in PL (524±57W; 􏰢17±25W; t=−2.270; df=10; p=0.047; D = 0.29),Within,10,-2.27,p = 0.047,standardised,not reported,no,,,10,-2.27,p = 0.047,,10,-2.27,0.047,0.047,Reproduced,"t(10) = -2.27, p = 0.047",,
107,Difference in Interoception between Long-Distance Runners and Sprinters: An Event-related Potential Study,We hypothesized that the interoception of long-distance runners would be superior to that of sprinters because interoception is more im- portant in competitive endurance races than in sprint races.,difference of means,"Sprinters had a higher interoceptive ability of controlling their attention with respect to their own bodies than long-distance runners (at- tention regulation (MAIA subscale 4): 3.2 ± 0.5 (sprinters) vs 2.8 ± 0.4 (long-distance runners); t(30) = 2.47, P = 0.020, d = 0.87).",Between,30,2.47,p = 0.02,standardised,not reported,no,,,30,2.47,p = 0.02,,30,2.47,0.02,0.02,Reproduced,"t(30) = 2.47, p = 0.02",,
127,Effect of Acute Interset Foot Cooling on Lower Limb Strength Training Workout,"We hypothesized that interset FC in- creases total exercise volume, amplifies EMG amplitude, and reduces RPE values during multiple sets of a leg press pyramid workout.",difference of means,"Overall, total exercise volume with FC (4774.7 [1032.6] kg) was significantly higher (t = 3.599, P = .004, ES = 1.259) than that with NC (3674.7 [1225.5] kg).",Within,11,3.599,p = 0.004,standardised,not reported,no,,,11,3.599,p = 0.004,,11,3.599,0.004,0.004,Reproduced,"t(11) = 3.599, p = 0.004",,
131,Improved 2000-m Rowing Performance in a Cool Environment With an External Heating Garment,It was hypothesized that the heated jacket would improve performance in a cool environment by attenuating the decline in body temperature,difference of means,"Rowing performance was faster in HEAT versus CON (433.1 [12.7] s vs 437.9 [14.4] s, Δ1.1%, t = 4.3, P < .01, η2 = .92; Figure 2).",Within,9,4.3,p < 0.01,standardised,not reported,no,,,9,4.3,p < 0.01,,9,4.3,<0.01,0.002,Reproduced,"t(9) = 4.3, p = 0.01",,
177,"How does mental fatigue affect soccer performance during small-sided games? A cognitive, tactical and physical approach",it was hypothesized that MF will result in: i) impaired perception peripheral performance; ii) decreased on accuracy in tactical actions; and iii) greater distance covered during SSGs.,difference of means,"In the PP test, a decrease in the visual field was observed between pre-(M = 189.9° ± 12.03°) and post-test (M = 181.6° ± 7.69°) moments in 12 participants (t(17) = 2.309; CI = 0.92 to 15.92; p = 0.035; d = 0.821) (Figure 2)",Within,17,2.309,p = 0.035,standardised,"yes, only for the unstandardised",no,,,17,2.309,p = 0.035,,17,2.309,0.035,0.034,Incorrectly rounded,"t(17) = 2.309, p = 0.035",,
211,The effects of Ramadan intermittent fasting on sleep-wake behaviour and daytime sleepiness in team sport referees,"Ramadan fasting would negatively affect sleep duration and quality, and would increase daytime sleepiness in Muslim referees.",difference of means,The values during Ramadan were significantly higher compared with before Ramadan (p < 0.001). ES (biserial correlation) = 0.56. Wilcoxon statistic = 545,Wilcoxon Sgned ranks - Within,78,W = 545,p < 0.001,both types are reported,not reported,no,,,78,Wilcoxon non-parametric test,,,,,P recomputed,0.00000,Reproduced,,,
229,The influence of transcranial direct current stimulation on pain affect and endurance exercise,"it was hypothesised that active tDCS with the anodal electrode placed over the left DLPFC would reduce ratings of exercise induced pain unpleasantness, but not pain intensity, and enhance muscular endurance time when compared to a placebo control.",difference of means,The analysis revealed no significant difference in TTE between active (173.30 ± 56.68 s) and sham (182.17 ± 74.77 s) tDCS conditions; t(22)=−0.773 p=.448.,Within,22,0.773,p = 0.448,not reported,not reported,yes,yes,,22,0.773,p = 0.448,,22,0.773,0.448,0.448,Reproduced,"t(22) = 0.773, p = 0.448",,
240,"Primed to perform: Comparing different pre-performance routine interventions to improve accuracy in closed, self-paced motor tasks","We hypothesized that the intervention groups would perform better than the control group, with the combined group showing the best performance.",difference of means,"Subsequent simple main effects analysis indicated no group differences pretest, F(3, 42 = 1.28, p = .29, ηp2 = 0.08, a significant group difference in the first posttest, F(3, 42) = 3.45, p = .025, ηp2 = 0.20, and no group differences in the second posttest, F(3, 42) = 0.97, p = .42, ηp2 = 0.07. Contrast-coded analysis (−1, −1, −1, +3, for the three intervention groups and the control group, respectively) in the first posttest was significant, corrected t(15.66) = 2.18, p = .045, indicating that participants in the intervention groups outperformed control participants.",Between,15.66,2.18,p = 0.045,standardised,not reported,,,,15.66,2.18,p = 0.045,,15.66,2.18,0.045,0.045,Reproduced,"t(15.66) = 2.18, p = 0.045",,
